"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm74000001","国家外汇管理局政府网站","http://www.safe.gov.cn		","国家外汇管理局","正常"
"2","bm74010001","国家外汇管理局天津市分局网站","http://www.safe.gov.cn/tianjin/","国家外汇管理局天津市分局","正常"
"3","bm74020001","国家外汇管理局上海市分局网站","http://www.safe.gov.cn/shanghai/","国家外汇管理局上海市分局","正常"
"4","bm74030001","国家外汇管理局辽宁省分局网站","http://www.safe.gov.cn/liaoning/","国家外汇管理局辽宁省分局","正常"
"5","bm74040001","国家外汇管理局江苏省分局网站","http://www.safe.gov.cn/jiangsu/","国家外汇管理局江苏省分局","正常"
"6","bm74050001","国家外汇管理局山东省分局网站","http://www.safe.gov.cn/shandong/","国家外汇管理局山东省分局","正常"
"7","bm74060001","国家外汇管理局湖北省分局网站","http://www.safe.gov.cn/hubei/","国家外汇管理局湖北省分局","正常"
"8","bm74070001","国家外汇管理局广东省分局网站","http://www.safe.gov.cn/guangdong/","国家外汇管理局广东省分局","正常"
"9","bm74080001","国家外汇管理局四川省分局网站","http://www.safe.gov.cn/sichuan","国家外汇管理局四川省分局","正常"
"10","bm74090001","国家外汇管理局陕西省分局网站","http://www.safe.gov.cn/shaanxi/","国家外汇管理局陕西省分局","正常"
"11","bm74100001","国家外汇管理局北京外汇管理部网站","http://www.safe.gov.cn/beijing/","国家外汇管理局北京外汇管理部","正常"
"12","bm74110001","国家外汇管理局重庆外汇管理部网站","http://www.safe.gov.cn/chongqing/","国家外汇管理局重庆外汇管理部","正常"
"13","bm74120001","国家外汇管理局河北省分局网站","http://www.safe.gov.cn/hebei/","国家外汇管理局河北省分局","正常"
"14","bm74130001","国家外汇管理局山西省分局网站","http://www.safe.gov.cn/shanxi/","国家外汇管理局山西省分局","正常"
"15","bm74140001","国家外汇管理局内蒙古自治区分局网站","http://www.safe.gov.cn/neimenggu/","国家外汇管理局内蒙古自治区分局","正常"
"16","bm74150001","国家外汇管理局吉林省分局网站","http://www.safe.gov.cn/jilin/","国家外汇管理局吉林省分局","正常"
"17","bm74160001","国家外汇管理局黑龙江省分局网站"," http://www.safe.gov.cn/heilongjiang/","国家外汇管理局黑龙江省分局","正常"
"18","bm74170001","国家外汇管理局浙江省分局网站","http://www.safe.gov.cn/zhejiang/","国家外汇管理局浙江省分局","正常"
"19","bm74180001","国家外汇管理局福建省分局网站","http://www.safe.gov.cn/fujian/","国家外汇管理局福建省分局","正常"
"20","bm74190001","国家外汇管理局安徽省分局网站","http://www.safe.gov.cn/anhui/","国家外汇管理局安徽省分局","正常"
"21","bm74200001","国家外汇管理局河南省分局网站","http://www.safe.gov.cn/henan/","国家外汇管理局河南省分局","正常"
"22","bm74210001","国家外汇管理局江西省分局网站","http://www.safe.gov.cn/jiangxi","国家外汇管理局江西省分局","正常"
"23","bm74220001","国家外汇管理局湖南省分局网站","http://www.safe.gov.cn/hunan/index.html","国家外汇管理局湖南省分局","正常"
"24","bm74230001","国家外汇管理局广西壮族自治区分局网站","https://www.safe.gov.cn/guangxi/","国家外汇管理局广西壮族自治区分局","正常"
"25","bm74240001","国家外汇管理局海南省分局网站","http://www.safe.gov.cn/hainan","国家外汇管理局海南省分局","正常"
"26","bm74250001","国家外汇管理局贵州省分局网站","http://www.safe.gov.cn/guizhou/index.html","国家外汇管理局贵州省分局","正常"
"27","bm74260001","国家外汇管理局云南省分局网站","http://www.safe.gov.cn/yunnan/","国家外汇管理局云南省分局","正常"
"28","bm74270001","国家外汇管理局西藏自治区分局网站","http://www.safe.gov.cn/xizang/","国家外汇管理局西藏自治区分局","正常"
"29","bm74280001","国家外汇管理局甘肃省分局网站","http://www.safe.gov.cn/gansu/","国家外汇管理局甘肃省分局","正常"
"30","bm74290001","国家外汇管理局宁夏回族自治区分局网站","http://www.safe.gov.cn/ningxia/","国家外汇管理局宁夏回族自治区分局","正常"
"31","bm74300001","国家外汇管理局青海省分局网站","http://www.safe.gov.cn/qinghai/","国家外汇管理局青海省分局","正常"
"32","bm74310001","国家外汇管理局新疆维吾尔自治区分局网站","http://www.safe.gov.cn/xinjiang/","国家外汇管理局新疆维吾尔自治区分局","正常"
"33","bm74320001","国家外汇管理局深圳市分局网站","http://www.safe.gov.cn/shenzhen/","国家外汇管理局深圳市分局","正常"
"34","bm74330001","国家外汇管理局大连市分局网站","http://www.safe.gov.cn/dalian/index.html","国家外汇管理局大连市分局","正常"
"35","bm74340001","国家外汇管理局青岛市分局网站","http://www.safe.gov.cn/qingdao/","国家外汇管理局青岛市分局","正常"
"36","bm74350001","国家外汇管理局厦门市分局网站","http://www.safe.gov.cn/xiamen/","国家外汇管理局厦门市分局","正常"
"37","bm74360001","国家外汇管理局宁波市分局网站","http://www.safe.gov.cn/ningbo/","国家外汇管理局宁波市分局","正常"